фирмы,услуги,размер,отрасль,наличие_целей_по_улучшению_окр_среды,наличие_менеджера_по_окр_среде,отслеживание_выбросов_CO2,наличие_целевых_уровней_выбросов_CO2,прим_более_благ_ист_энерго,минимал_отходов,меры_по_огр_загряз_воздуха,меры_по_огр_загрязн_возд,наличие_выбросов_CO2
2675,Другое Производство,Средний,Производство,Нет,Нет,,Нет,Да,Нет,Нет,Нет,Нет
2677,Другое Производство,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Да,Нет
2701,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2703,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Да,Нет,Да,Нет
2705,Другое Производство,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Да,Нет
2706,Другое Производство,Средний,Производство,Нет,Нет,,Нет,Нет,Да,Да,Нет,Нет
2709,Еда,Крупный,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2716,Розничная торговля,Малый,Розничная торговля,Нет,Нет,,Нет,Нет,Да,Нет,Да,Нет
2720,Розничная торговля,Средний,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Да,Нет
2721,Розничная торговля,Крупный,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2729,Другие Услуги,Средний,Сфера услуг,Нет,Нет,,Не знаю,Нет,Нет,Нет,Нет,Не знаю
2736,Другое Производство,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Да,Нет
2753,Другое Производство,Средний,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
2763,Машины и оборудование,Малый,Производство,Да,Да,,Нет,Нет,Нет,Нет,Да,Нет
2764,Машины и оборудование,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2785,Другие Услуги,Крупный,Сфера услуг,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
2797,Готовые Металлические Изделия,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2816,Другие Услуги,Средний,Оптовая торговля,Нет,Да,,Нет,Нет,Нет,Нет,Нет,Нет
2825,Розничная торговля,Средний,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2860,Еда,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Да,Нет,Нет
2862,Еда,Средний,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
2863,Еда,Крупный,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2867,Розничная торговля,Средний,Розничная торговля,Нет,Нет,,Нет,Не применимо,Нет,Нет,Да,Нет
2869,Другое Производство,Крупный,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2870,Другое Производство,Средний,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
2871,Другое Производство,Крупный,Производство,Нет,Да,,Нет,Нет,Да,Нет,Нет,Нет
2876,Неметаллические Минеральные продукты,Средний,Производство,Нет,Нет,,Нет,Нет,Да,Да,Да,Нет
2881,Готовые Металлические Изделия,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2883,Готовые Металлические Изделия,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2890,Готовые Металлические Изделия,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2895,Розничная торговля,Средний,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Да,Нет
2903,Другие Услуги,Крупный,Строительство,Нет,Нет,,Нет,Не применимо,Не применимо,Не применимо,Не применимо,Нет
2946,Розничная торговля,Средний,Розничная торговля,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
2960,Розничная торговля,Малый,Розничная торговля,Нет,Нет,,Нет,Нет,Да,Нет,Да,Нет
2963,Другие Услуги,Малый,Сфера услуг,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
2975,Машины и оборудование,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2990,Другое Производство,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
2993,Другое Производство,Крупный,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
2999,Неметаллические Минеральные продукты,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
3018,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
3020,Другие Услуги,Малый,Сфера услуг,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
3039,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
3078,Розничная торговля,Средний,Розничная торговля,Нет,Нет,,Нет,Нет,Да,Нет,Да,Нет
3095,Другое Производство,Крупный,Транспорт,Да,Да,,Нет,Нет,Нет,Нет,Нет,Нет
3097,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
3108,Другое Производство,Средний,Производство,Да,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да
3117,Другое Производство,Средний,Производство,Да,Нет,Нет,Нет,Да,Нет,Нет,Да,Да
3153,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Да,Нет
3164,Розничная торговля,Средний,Розничная торговля,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да
3175,Другое Производство,Средний,Производство,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да
3177,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да
3404,Другое Производство,Крупный,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
3405,Другое Производство,Средний,Производство,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да
3410,Другое Производство,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
3414,Неметаллические Минеральные продукты,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
3417,Готовые Металлические Изделия,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
3418,Готовые Металлические Изделия,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
3420,Машины и оборудование,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
3422,Машины и оборудование,Крупный,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
3438,Неметаллические Минеральные продукты,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
3452,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
3455,Розничная торговля,Малый,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Не применимо,Нет,Нет
3468,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
3469,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
3472,Машины и оборудование,Крупный,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
3483,Розничная торговля,Малый,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Не применимо,Нет,Нет
3489,Розничная торговля,Средний,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Не применимо,Нет,Нет
3491,Розничная торговля,Средний,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Не применимо,Нет,Нет
3498,Другие Услуги,Малый,Оптовая торговля,Да,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да
3499,Другие Услуги,Малый,Сфера услуг,Нет,Нет,,Нет,Нет,Не применимо,Не применимо,Не применимо,Нет
3513,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
3516,Еда,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
3517,Еда,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
3520,Готовые Металлические Изделия,Малый,Производство,Нет,Нет,,Нет,Не применимо,Да,Нет,Нет,Нет
3528,Другое Производство,Крупный,Сфера услуг,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
3529,Другое Производство,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
3531,Неметаллические Минеральные продукты,Средний,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
3535,Машины и оборудование,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
3539,Другое Производство,Крупный,Производство,Нет,Нет,Нет,Нет,Да,Да,Да,Да,Да
3544,Машины и оборудование,Крупный,Производство,Да,Да,Да,Да,Да,Да,Да,Не знаю,Да
3546,Другое Производство,Средний,Производство,Да,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
3553,Другие Услуги,Средний,Строительство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
3554,Другие Услуги,Малый,Строительство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
3563,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Не применимо,Нет,Не применимо,Нет,Нет
3567,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
3569,Готовые Металлические Изделия,Малый,Транспорт,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Да
3570,Розничная торговля,Малый,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
3571,Другие Услуги,Малый,Разработка,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
3575,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
3582,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
3583,Розничная торговля,Средний,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
3593,Розничная торговля,Малый,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
3594,Розничная торговля,Малый,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
3596,Розничная торговля,Малый,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
3598,Розничная торговля,Малый,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
3601,Еда,Крупный,Производство,Да,Да,,Нет,Да,Да,Нет,Нет,Нет
3602,Еда,Средний,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Не знаю,Нет
3614,Предметы одежды,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
3615,Предметы одежды,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
3616,Другое Производство,Крупный,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
3618,Розничная торговля,Малый,Розничная торговля,Нет,Нет,,Нет,Нет,Не знаю,Нет,Нет,Нет
3777,Другое Производство,Малый,Производство,Да,Нет,,Нет,Нет,Да,Да,Нет,Нет
3861,Еда,Средний,Производство,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да
3862,Еда,Крупный,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
3863,Еда,Крупный,Производство,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Да
3878,Неметаллические Минеральные продукты,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Не применимо,Не применимо,Нет
3880,Готовые Металлические Изделия,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
3881,Готовые Металлические Изделия,Малый,Производство,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да
3882,Другое Производство,Средний,Оптовая торговля,Нет,Нет,,Нет,Не применимо,Не применимо,Не применимо,Не применимо,Нет
3883,Готовые Металлические Изделия,Средний,Производство,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да
3885,Машины и оборудование,Средний,Сфера услуг,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да
3903,Другие Услуги,Малый,Строительство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
3912,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да
3919,Машины и оборудование,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
3922,Неметаллические Минеральные продукты,Средний,Производство,Да,Да,Да,Да,Нет,Нет,Нет,Нет,Да
3924,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да
3926,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Не применимо,Не применимо,Не знаю,Не применимо,Нет
3929,Другие Услуги,Малый,Сфера услуг,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
3947,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
3949,Еда,Средний,Производство,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да
3951,Розничная торговля,Малый,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Не применимо,Нет,Нет
3952,Другие Услуги,Малый,Разработка,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да
3956,Розничная торговля,Малый,Розничная торговля,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
3969,Другие Услуги,Крупный,Разработка,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да
3984,Розничная торговля,Средний,Розничная торговля,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да
3995,Другое Производство,Средний,Производство,Нет,Нет,,Нет,Да,Да,Нет,Нет,Нет
3997,Другое Производство,Крупный,Производство,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да
3999,Другое Производство,Крупный,Производство,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да
4002,Другое Производство,Средний,Производство,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да
4006,Неметаллические Минеральные продукты,Крупный,Производство,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да
4007,Готовые Металлические Изделия,Малый,Производство,Да,Нет,,Нет,Да,Не знаю,Да,Да,Нет
4010,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да
4020,Другое Производство,Крупный,Производство,Да,Да,,Нет,Нет,Нет,Да,Да,Нет
4024,Другое Производство,Малый,Производство,Нет,Нет,,Нет,Да,Нет,Нет,Нет,Нет
4026,Другое Производство,Средний,Производство,Нет,Нет,Нет,Нет,Да,Нет,Нет,Да,Да
4028,Другое Производство,Крупный,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
4030,Другое Производство,Средний,Производство,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да
4031,Другое Производство,Средний,Производство,Нет,Нет,,Нет,Не знаю,Не знаю,Не знаю,Не знаю,Нет
4033,Другое Производство,Крупный,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
4034,Другое Производство,Средний,Производство,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да
4035,Розничная торговля,Малый,Розничная торговля,Нет,Нет,,Нет,Да,Нет,Нет,Нет,Нет
4038,Другое Производство,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
4040,Другие Услуги,Крупный,Строительство,Нет,Нет,,Нет,Да,Да,Нет,Нет,Нет
4042,Другие Услуги,Малый,Строительство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
4047,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
4048,Другие Услуги,Средний,Оптовая торговля,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да
4059,Другие Услуги,Крупный,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
4060,Розничная торговля,Средний,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
4065,Розничная торговля,Крупный,Розничная торговля,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да
4069,Другие Услуги,Средний,Оптовая торговля,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да
4070,Розничная торговля,Малый,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
4077,Розничная торговля,Средний,Розничная торговля,Нет,Нет,,Нет,Да,Нет,Нет,Нет,Нет
4078,Розничная торговля,Средний,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
4080,Розничная торговля,Средний,Розничная торговля,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да
4084,Розничная торговля,Малый,Розничная торговля,Нет,Нет,,Нет,Не знаю,Не знаю,Не знаю,Не знаю,Нет
4094,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да
4098,Другое Производство,Крупный,Производство,Да,Да,Да,Да,Да,Да,Да,Да,Да
4111,Неметаллические Минеральные продукты,Средний,Производство,Нет,Нет,,Нет,Да,Нет,Нет,Нет,Нет
4116,Готовые Металлические Изделия,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Да,Нет,Нет
4117,Готовые Металлические Изделия,Средний,Производство,Да,Нет,,Нет,Да,Нет,Да,Нет,Нет
4118,Готовые Металлические Изделия,Средний,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
4119,Машины и оборудование,Малый,Производство,Да,Нет,Да,Да,Да,Да,Нет,Нет,Да
4124,Другое Производство,Крупный,Производство,Да,Нет,Да,Да,Нет,Да,Нет,Да,Да
4125,Другое Производство,Малый,Сфера услуг,Нет,Нет,,Нет,Нет,Нет,Нет,Да,Нет
4131,Машины и оборудование,Крупный,Производство,Да,Да,Да,Да,Нет,Да,Да,Да,Да
4146,Другие Услуги,Крупный,Строительство,Нет,Нет,Да,Да,Нет,Да,Да,Да,Да
4148,Другие Услуги,Малый,Оптовая торговля,Да,Нет,Да,Да,Нет,Да,Да,Да,Да
4152,Другие Услуги,Малый,Оптовая торговля,Да,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
4167,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
4177,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
4178,Розничная торговля,Средний,Розничная торговля,Да,Нет,,Нет,Нет,Да,Нет,Да,Нет
4181,Неметаллические Минеральные продукты,Средний,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Да,Нет
4182,Розничная торговля,Средний,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
4195,Другие Услуги,Малый,Транспорт,Нет,Нет,Да,Нет,Нет,Нет,Да,Нет,Да
4197,Другие Услуги,Малый,Транспорт,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Да
4203,Предметы одежды,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
4204,Готовые Металлические Изделия,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
5853,Другие Услуги,Крупный,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
6643,Другие Услуги,Крупный,Оптовая торговля,Нет,Нет,Нет,Нет,Не знаю,Не знаю,Не знаю,Не знаю,Да
7362,Другие Услуги,Крупный,Строительство,Да,Да,Нет,Нет,Да,Да,Да,Да,Да
7509,Другие Услуги,Крупный,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
7688,Другие Услуги,Крупный,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
9080,Другие Услуги,Крупный,Оптовая торговля,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да
9233,Другие Услуги,Крупный,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
9239,Другие Услуги,Крупный,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
9417,Другие Услуги,Крупный,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
9616,Другие Услуги,Крупный,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
10033,Другие Услуги,Крупный,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
10318,Другие Услуги,Крупный,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
10376,Другие Услуги,Крупный,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
10824,Другие Услуги,Крупный,Оптовая торговля,Нет,Нет,,Нет,Не применимо,Не применимо,Не применимо,Нет,Нет
14793,Другие Услуги,Средний,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
17276,Другие Услуги,Средний,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
18098,Другие Услуги,Средний,Оптовая торговля,Нет,Нет,,Нет,Не применимо,Нет,Не применимо,Не знаю,Нет
22654,Другие Услуги,Средний,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
25632,Другие Услуги,Средний,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
26120,Другие Услуги,Средний,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Да,Нет
28935,Другие Услуги,Средний,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
29652,Другие Услуги,Средний,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
30307,Другие Услуги,Средний,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
31147,Другие Услуги,Средний,Разработка,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
31823,Другие Услуги,Средний,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
39123,Другие Услуги,Средний,Оптовая торговля,Нет,Нет,,Нет,Нет,Да,Не знаю,Да,Не знаю
42054,Другие Услуги,Средний,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
44193,Другие Услуги,Средний,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
48855,Другие Услуги,Средний,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
56613,Другие Услуги,Малый,Оптовая торговля,Не знаю,Не знаю,,Нет,Нет,Нет,Нет,Нет,Нет
61184,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
69284,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
79808,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
86424,Другие Услуги,Малый,Разработка,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
89608,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да
91394,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
96298,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
116414,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
117284,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
134409,Другие Услуги,Малый,Строительство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
143694,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
148469,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
153250,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
154220,Другие Услуги,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
154714,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
159642,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Да,Нет
180615,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
187616,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
194384,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
210404,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
211144,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
218939,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
221573,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Не применимо,Нет,Не применимо,Нет,Нет
224784,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
231430,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
231547,Другие Услуги,Малый,Строительство,Да,Да,,Нет,Нет,Нет,Нет,Нет,Нет
241289,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Да,Нет
251853,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
254563,Другие Услуги,Малый,Сфера услуг,Не знаю,Нет,,Не знаю,Нет,Нет,Нет,Нет,Не знаю
261421,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
273598,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
275016,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
277323,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Не применимо,Нет,Не применимо,Не применимо,Нет
282825,Другие Услуги,Малый,Транспорт,Нет,Нет,,Нет,Нет,Не применимо,Не применимо,Не применимо,Нет
292859,Другие Услуги,Малый,Транспорт,Нет,Нет,,Нет,Нет,Нет,Не знаю,Не знаю,Нет
293254,Другие Услуги,Малый,Транспорт,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
293990,Другие Услуги,Малый,Транспорт,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
308799,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
314409,Другие Услуги,Малый,Информация и ее распространение,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
343625,Другие Услуги,Средний,Транспорт,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
345343,Другие Услуги,Средний,Сфера услуг,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
348495,Другие Услуги,Крупный,Сфера услуг,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
